padrillo,track,win_share_90,n_carreras_hijos_90,win_share_365,n_carreras_hijos_365
Hit It A Bomb,Hipódromo de La Plata,.13333334,60,.11046512,172
Hit It A Bomb,Hipódromo de Palermo,.1627907,43,.13793103,145
Hit It A Bomb,Hipódromo de San Isidro,.175,40,.15436241,149
Mastercraftsman,Hipódromo de La Plata,.083333336,12,.15625,64
Mastercraftsman,Hipódromo de Palermo,.14285715,14,.09259259,54
Mastercraftsman,Hipódromo de San Isidro,.052631579,19,.15730338,89
Remote,Hipódromo de La Plata,.17777778,45,.17117117,111
Remote,Hipódromo de Palermo,.22857143,35,.14678898,109
Remote,Hipódromo de San Isidro,.34782609,46,.2086331,139
Super Saver,Hipódromo de La Plata,.07692308,13,.13235295,68
Super Saver,Hipódromo de Palermo,.11111111,18,.13186814,91
