track,surface,dist_group2,win_share_90,n_carreras_90,win_share_365,n_carreras_365
Hipódromo de La Plata,Arena,≤1000 mts,.071428575,14,.096774191,62
Hipódromo de La Plata,Arena,1100–1400 mts,.14864865,74,.16333333,300
Hipódromo de La Plata,Arena,≥1500 mts,0,23,.12396694,121
Hipódromo de Palermo,Arena,≤1000 mts,.16666667,36,.12820514,117
Hipódromo de Palermo,Arena,1100–1400 mts,.23214285,56,.14830509,236
Hipódromo de Palermo,Arena,≥1500 mts,.15384616,26,.16923077,130
Hipódromo de Palermo,Pasto,1100–1400 mts,.33333334,3,.11111111,9
Hipódromo de Palermo,Pasto,≥1500 mts,0,2,.11111111,9
Hipódromo de San Isidro,Arena,1100–1400 mts,.39130434,23,.18000001,200
Hipódromo de San Isidro,Arena,≥1500 mts,.125,8,.19480519,77
Hipódromo de San Isidro,Pasto,≤1000 mts,.42857143,7,.1891892,37
Hipódromo de San Isidro,Pasto,1100–1400 mts,.15789473,38,.17931035,145
Hipódromo de San Isidro,Pasto,≥1500 mts,.2173913,23,.11818182,110
